Random number,Name,fryd,Serving size,Calories per serving,sodium per serving,fat per serving,seasoned,Alyssa score,Anna score,Brandon B score,Bradon W score,Carolyn score,Nora score,Riley score,Robin score,Sophie score,Jacob score,John score
0.027083704,Meijer Regular Cut Fries,A,84,130,280,4,no,50,70,50,70,55,55,62,50,64,60,52
0.155544185,Alexia Sweet Potato Puffs,B,84,140,230,4.5,yes,65,55,25,70,45,65,50,70,37,75,63
0.241957872,Meijer Crinkle Cut Fries,C,84,120,280,3,no,75,15,35,65,31,30,74,20,80,55,71
0.262419123,Ore-Ida Golden Waffle Fries,D,84,120,330,6,no,60,30,60,75,48,40,42,40,45,55,86
0.313626811,Ore-Ida Extra Crispy Fast Food Fries,E,84,130,450,7,no,85,90,70,75,52,75,82,50,55,70,70
0.611806024,Ore-Ida Golden Tater Tots,F,86,130,450,8,no,75,50,80,68,63,50,78,60,63,65,68
0.661725133,Meijer Steak Fries,G,84,110,280,3,no,65,70,45,65,15,77,76,80,75,60,39
0.682066789,Arby's Seasoned Curly Fries,H,84,180,390,10,yes,80,97,90,76,70,82,94,80,72,85,89
0.79986336,Meijer Regular Cut Fries - Duplicate,I,84,130,280,4,no,50,50,50,69,50,50,68,60,74,45,59
0.837384785,Ore-Ida Zesty Curly Fries,J,84,160,470,9,yes,80,65,85,76,66,60,84,75,76,50,84
0.950215304,McCain Smiles,K,84,160,170,8,no,86,20,40,65,26,31,56,30,65,40,21
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,
